********************************************************************************
LOGGING TIME: 20200930_181119
CLIENT IP: 127.0.1.1
USERNAME: baba
OS: Linux
ARCHITECTURE: amd64
VERSION: 4.15.0-118-generic
RESOLUTION: 1920.0 1080.0
********************************************************************************
MM, 900, 982, 7
MM, 898, 972, 8
MM, 896, 964, 7
MM, 894, 956, 7
MM, 892, 950, 7
MM, 891, 943, 9
MM, 889, 938, 5
MM, 888, 933, 10
MM, 887, 931, 5
MM, 887, 929, 9
MM, 886, 927, 6
MM, 885, 925, 7
MM, 885, 923, 8
MM, 885, 922, 6
MM, 885, 920, 7
MM, 885, 918, 8
MM, 885, 917, 7
MM, 885, 915, 8
MM, 885, 914, 7
MM, 885, 913, 8
MM, 885, 912, 6
MM, 884, 912, 8
MM, 884, 911, 7
MM, 884, 910, 8
MM, 884, 910, 6
MM, 884, 909, 7
MM, 884, 909, 8
MM, 884, 908, 7
MM, 884, 907, 7
MM, 884, 907, 8
MM, 884, 906, 7
MM, 884, 905, 7
MM, 884, 905, 8
MM, 884, 904, 7
MM, 884, 904, 7
MM, 884, 903, 7
MM, 884, 902, 8
MM, 884, 901, 7
MM, 884, 899, 7
MM, 884, 898, 7
MM, 884, 897, 8
MM, 884, 896, 7
MM, 884, 895, 7
MM, 884, 894, 8
MM, 884, 892, 8
MM, 884, 892, 6
MM, 884, 891, 7
MM, 884, 891, 8
MM, 884, 890, 7
MM, 884, 889, 7
MM, 884, 889, 8
MM, 884, 888, 7
MM, 884, 887, 7
MM, 884, 886, 8
MM, 884, 886, 7
MM, 884, 885, 7
MM, 884, 884, 7
MM, 884, 886, 1000
MM, 884, 889, 7
MM, 884, 894, 7
MM, 884, 898, 7
MM, 884, 903, 7
MM, 884, 906, 8
MM, 884, 909, 7
MM, 884, 911, 7
MM, 884, 913, 9
MM, 884, 914, 6
MM, 884, 916, 7
MM, 884, 916, 7
MM, 884, 917, 8
MM, 884, 918, 8
MM, 884, 918, 6
MM, 884, 919, 10
MM, 884, 919, 5
MM, 884, 920, 7
MM, 884, 921, 8
MM, 884, 921, 7
MM, 884, 922, 7
MM, 884, 923, 15
MM, 884, 923, 15
MM, 884, 924, 6
MM, 884, 924, 8
MM, 884, 925, 7
MM, 884, 926, 7
MM, 884, 926, 9
MM, 884, 927, 6
MM, 884, 928, 7
MM, 884, 929, 9
MM, 885, 931, 6
MM, 885, 934, 7
MM, 885, 936, 7
MM, 885, 938, 8
MM, 885, 941, 7
MM, 885, 943, 8
MM, 885, 944, 6
MM, 885, 946, 9
MM, 885, 948, 7
MM, 885, 950, 7
MM, 885, 952, 8
MM, 886, 954, 6
MM, 887, 958, 7
MM, 887, 960, 7
MM, 887, 963, 8
MM, 887, 965, 7
MM, 887, 967, 7
MM, 887, 969, 7
MM, 887, 971, 8
MM, 887, 973, 7
MM, 887, 974, 7
MM, 887, 975, 8
MM, 887, 976, 7
MM, 887, 978, 7
MM, 887, 979, 8
MM, 887, 979, 7
MM, 887, 981, 7
MM, 887, 982, 8
MM, 887, 983, 7
MM, 887, 984, 7
MM, 887, 986, 7
MM, 887, 987, 7
MM, 887, 988, 8
MM, 887, 989, 7
MM, 887, 989, 7
MM, 887, 990, 8
MM, 887, 991, 7
MM, 887, 991, 7
MM, 887, 992, 16
MM, 887, 992, 6
MM, 888, 992, 44
MM, 889, 992, 7
MM, 889, 992, 7
MM, 890, 992, 9
MM, 890, 992, 6
MM, 891, 988, 7
MM, 892, 984, 8
MM, 892, 980, 7
MM, 892, 975, 9
MM, 892, 970, 5
MM, 892, 966, 8
MM, 892, 961, 8
MM, 892, 957, 6
MM, 892, 952, 7
MM, 892, 948, 8
MM, 892, 944, 7
